Part Number,Description,Manufacturer,Product Group,Retail,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,Alt7,Alt8,Alt9,Alt10,Alt11,Alt12,Alt13,Alt14,Alt15
LM1001,HYBRID ADDITIVE 250ML,LIQUI MOLY,Other Fluids,12.96,,,,,,,,,,,,,,,
LM1007,GEAR PROTECT 80ML,LIQUI MOLY,Accessories,50.69,,,,,,,,,,,,,,,
LM1015,MOLYGEN MOTOR PROTECT 500ML,LIQUI MOLY,Accessories,56.70,,,,,,,,,,,,,,,
LM1018,MOTOR PROTECT 500ML,LIQUI MOLY,Accessories,45.43,,,,,,,,,,,,,,,
LM1019,MOTOR CLEAN 500ML,LIQUI MOLY,Accessories,35.06,,,,,,,,,,,,,,,
LM1020,G-OIL  (GL4) SAE 80W 1L,LIQUI MOLY,Gear Oil,16.52,,,,,,,,,,,,,,,
LM1024,F-SYN   G-OIL  (GL4/5) 75W-90 1L,LIQUI MOLY,Gear Oil,45.97,,,,,,,,,,,,,,,
LM1025,HY G-OIL  GL5 SAE 80W 1L,LIQUI MOLY,Gear Oil,15.52,,,,,,,,,,,,,,,
LM1027,HY G-OIL  (GL5) SAE 85W-140,LIQUI MOLY,Gear Oil,371.12,,,,,,,,,,,,,,,
LM1028,HY G-OIL  (GL5) SAE 85W-140,LIQUI MOLY,Gear Oil,"3,597.70",,,,,,,,,,,,,,,
LM1029,2-STROKE MOTOR OIL 100ML,LIQUI MOLY,Engine Oils,5.36,,,,,,,,,,,,,,,
LM1030,G-OIL  (GL4) SAE 85W-90 1L,LIQUI MOLY,Gear Oil,16.81,,,,,,,,,,,,,,,
LM1031,HY G-OIL  (GL5) SAE 85W-90,LIQUI MOLY,Gear Oil,"1,281.24",,,,,,,,,,,,,,,
LM1033,G-OIL  (GL4) SAE 80W,LIQUI MOLY,Gear Oil,302.65,,,,,,,,,,,,,,,
LM1034,G-OIL  (GL4) SAE 85W-90,LIQUI MOLY,Gear Oil,"1,150.70",,,,,,,,,,,,,,,
LM1035,HY G-OIL  (GL5) SAE 85W90 1L,LIQUI MOLY,Gear Oil,17.60,,,,,,,,,,,,,,,
LM1036,HY G-OIL  (GL5) SAE 80W,LIQUI MOLY,Gear Oil,"1,023.41",,,,,,,,,,,,,,,
LM1039,G-OIL  (GL4) SAE 80W,LIQUI MOLY,Gear Oil,940.03,,,,,,,,,,,,,,,
LM1040,G-OIL  ADDITIVE 20G,LIQUI MOLY,Other Fluids,8.57,,,,,,,,,,,,,,,
LM1042,G-OIL  LEAK STOP 50ML,LIQUI MOLY,Gear Oil,12.17,,,,,,,,,,,,,,,
LM1043,ATF III 1L,LIQUI MOLY,Coolant Fluids,20.23,,,,,,,,,,,,,,,
LM1045,G-OIL  (GL4) SAE 85W-90 20L,LIQUI MOLY,Gear Oil,268.74,,,,,,,,,,,,,,,
